X,Y,Z,begin,end,route,lib_rte,dist_deb,dist_fin,portee,gestionnai,nom_plo_in,nom_plo_fi,AUTO,x,y,begin_2,end_2,route_2,lib_rte_2,dist_deb_2,dist_fin_2,portee_2,gestionn_1,nom_plo__1,nom_plo__2,AUTO_2,x_2,y_2,len_test_m,mx1,mx2,my1,my2
842167.633026962,6659824.72496619,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,10,842167.6330269617,6659824.7249661852,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,10,842102.3386615629,6659593.0929731661,240.658958575821,842167.633026962,842102.338661563,6659824.72496619,6659593.09297317
842181.577899046,6659862.36370994,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,11,842181.5778990457,6659862.3637099368,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,11,842115.4881052070,6659630.8698075954,240.743198597421,842181.577899046,842115.488105207,6659862.36370994,6659630.8698076
842195.570642999,6659899.83640955,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,12,842195.5706429993,6659899.8364095548,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,12,842128.8574378089,6659668.5688272817,240.697624328167,842195.570642999,842128.857437809,6659899.83640955,6659668.56882728
842209.563386953,6659937.30910917,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,13,842209.5633869526,6659937.3091091719,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,13,842142.4198156943,6659706.1994252857,240.665629343458,842209.563386953,842142.419815694,6659937.30910917,6659706.19942529
842223.91959168,6659974.94383664,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,14,842223.9195916803,6659974.9438366406,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,14,842155.9821935797,6659743.8300232897,240.892268000201,842223.91959168,842155.98219358,6659974.94383664,6659743.83002329
842238.702433271,6660012.16988198,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,15,842238.7024332706,6660012.1698819799,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,15,842169.5445714646,6659781.4606212918,240.851765235082,842238.702433271,842169.544571465,6660012.16988198,6659781.46062129
842253.465400426,6660049.34587966,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,16,842253.4654004264,6660049.3458796609,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,16,842183.1068919605,6659819.0910600610,240.764618792999,842253.465400426,842183.10689196,6660049.34587966,6659819.09106006
842268.228367582,6660086.52187734,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,17,842268.2283675816,6660086.5218773400,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,17,842197.0114648974,6659856.5962397363,240.702401432587,842268.228367582,842197.011464897,6660086.52187734,6659856.59623974
842283.02685357,6660123.78801933,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,18,842283.0268535701,6660123.7880193321,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,18,842211.0135751904,6659894.0654391861,240.745459130481,842283.02685357,842211.01357519,6660123.78801933,6659894.06543919
842298.599104096,6660160.9819151,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,19,842298.5991040963,6660160.9819151014,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,19,842225.0156854830,6659931.5346386340,240.957614889328,842298.599104096,842225.015685483,6660160.9819151,6659931.53463863
842314.29888393,6660197.7721287,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,20,842314.2988839297,6660197.7721286956,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,20,842239.2747784588,6659968.9052993823,240.849832803888,842314.29888393,842239.274778459,6660197.7721287,6659968.90529938
842330.006825909,6660234.55881868,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,21,842330.0068259089,6660234.5588186793,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,21,842254.0360363489,6660006.0814884361,240.776766531651,842330.006825909,842254.036036349,6660234.55881868,6660006.08148844
842345.714902879,6660271.34545103,0,0.000000000000000,347720.000000000000000,21 A0031  G,A31,"0","851",G,APRR,21PR0GC,21PR1GC,22,842345.7149028789,6660271.3454510299,0.000000000000000,347720.000000000000000,21 A0031,A31,"0","1302",D,APRR,21PR0DC,21PR1DC,22,842268.7974613808,6660043.2580984356,240.707567849675,842345.714902879,842268.797461381,6660271.34545103,6660043.25809844
